keyword_a,keyword_b,cooccurrence_weight,explicit_edge_weight
20/20,3/20,0,2
20/20,A_ONLY,0,2
20/20,B_ONLY,0,2
20/20,C_ONLY,0,2
20/20,complete state,1,0
20/20,complete-state contract,0,1
20/20,concept-gate-taxonomy,0,2
20/20,decision schema,0,1
20/20,destructive repair,0,1
20/20,directed positive control,0,2
20/20,E2 progression,0,1
20/20,E2.2.1,0,2
20/20,E2.2.2,1,0
20/20,E2.2.3,0,2
20/20,evidence contract,0,1
20/20,experiment README,0,1
20/20,factor sufficiency,0,2
20/20,feature identity,0,1
20/20,full-set preservation,0,1
20/20,global consistency,1,0
20/20,global consistency rule,0,1
20/20,global feature-type invariant,0,1
20/20,global invariant,0,1
20/20,global state normalization,0,1
20/20,MCP,0,1
20/20,memory card,0,1
20/20,MixRig,0,1
20/20,next experiment,0,1
20/20,OFAT ablation,0,2
20/20,ontology,0,1
20/20,reasoner,0,1
20/20,repaired_concepts,0,1
20/20,repo provenance,0,1
20/20,schema minItems,1,0
20/20,semantic obligation,0,1
20/20,structural preservation,0,1
20/20,structural_composition,0,2
20/20,trial data,0,1
20/20,vocabulary exposure,0,2
3/20,complete state,0,2
3/20,concept-gate-taxonomy,0,2
3/20,contextual_usage,0,1
3/20,decision schema,0,1
3/20,directed positive control,1,0
3/20,E2 progression,0,1
3/20,E2.2.1,1,0
3/20,E2.2.2,0,2
3/20,essential_feature,0,1
3/20,evidence contract,0,1
3/20,experiment README,0,1
3/20,FeatureType,0,1
3/20,functional,0,1
3/20,global consistency,0,2
3/20,global invariant,0,1
3/20,locational,0,1
3/20,MCP,0,1
3/20,memory card,0,1
3/20,next experiment,0,1
3/20,ontology,0,1
3/20,reasoner,0,1
3/20,repo provenance,0,1
3/20,schema minItems,0,2
3/20,semantic obligation,0,1
3/20,social_treatment,0,1
3/20,structural_composition,1,1
3/20,trial data,0,1
3/20,vocabulary exposure,1,0
A_ONLY,adaptive screening,0,2
A_ONLY,B_ONLY,1,0
A_ONLY,C_ONLY,1,0
A_ONLY,complete state,0,2
A_ONLY,complete-state contract,0,1
A_ONLY,concept-gate-taxonomy,0,2
A_ONLY,decision schema,0,1
A_ONLY,decoy resistance,0,2
A_ONLY,destructive repair,0,1
A_ONLY,E2 progression,0,1
A_ONLY,E2.2.2,0,2
A_ONLY,E2.2.3,1,0
A_ONLY,E2.3,0,2
A_ONLY,evidence contract,0,1
A_ONLY,experiment README,0,1
A_ONLY,factor sufficiency,1,0
A_ONLY,feature identity,0,1
A_ONLY,full-set preservation,0,1
A_ONLY,global consistency,0,2
A_ONLY,global consistency rule,0,1
A_ONLY,global feature-type invariant,0,1
A_ONLY,global invariant,0,1
A_ONLY,global invariant generalization,0,2
A_ONLY,global state normalization,0,1
A_ONLY,MCP,0,1
A_ONLY,memory card,0,1
A_ONLY,MixRig,0,1
A_ONLY,next experiment,0,1
A_ONLY,OFAT ablation,1,0
A_ONLY,ontology,0,1
A_ONLY,paraphrase invariance,0,2
A_ONLY,reasoner,0,1
A_ONLY,repaired_concepts,0,1
A_ONLY,repo provenance,0,1
A_ONLY,schema minItems,0,2
A_ONLY,semantic obligation,0,1
A_ONLY,structural preservation,0,1
A_ONLY,topology generalization,0,2
A_ONLY,trial data,0,1
A_REPO,adaptive screening,0,1
A_REPO,claim abstain repair,0,1
A_REPO,cold context,1,1
A_REPO,commit provenance,0,3
A_REPO,concept-gate-taxonomy,0,3
A_REPO,conflicting evidence,0,1
A_REPO,context contamination,0,1
A_REPO,CONTRACT_REPO,2,0
A_REPO,CONTROL_REPO,2,0
A_REPO,decision schema,0,1
A_REPO,decoy resistance,0,1
A_REPO,design only,1,2
A_REPO,deterministic scorer,0,2
A_REPO,direct support,0,1
A_REPO,E2.3,0,1
A_REPO,E2.3 result,0,1
A_REPO,E2.4,1,4
A_REPO,E2.4 execution,1,0
A_REPO,E2.4 fixtures,0,2
A_REPO,E2.4 status,0,2
A_REPO,evidence audit,0,1
A_REPO,evidence packet,0,1
A_REPO,evidence sufficiency,0,1
A_REPO,exact excerpt,0,1
A_REPO,experiment README,0,1
A_REPO,feature identity,0,1
A_REPO,generalization claim,0,1
A_REPO,global consistency rule,0,1
A_REPO,global feature-type invariant,0,1
A_REPO,global invariant,0,1
A_REPO,global invariant generalization,0,1
A_REPO,global state normalization,0,1
A_REPO,goodand/concept-gate-taxonomy,0,2
A_REPO,hidden oracle,0,2
A_REPO,mandatory abstention,0,1
A_REPO,MCP,0,2
A_REPO,MCP context isolation,0,1
A_REPO,missing evidence,0,1
A_REPO,missing scorer,0,2
A_REPO,missing trials,0,2
A_REPO,MixRig,0,1
