id,type,title,status,file,project,topics,keywords,summary
claim-e2-4-design-only,claim,E2.4 Is Designed but Not Executed,supported,files/markdown/claim-e2-4-design-only.md,ontology-reasoner-mcp,design-only|e2-4-status|missing-scorer|missing-trials|not-executed,E2.4 status|design only|not executed|missing scorer|missing trials,E2.4에는 README·schemas·prompt block만 있고 fixture·scorer·trial·결과는 아직 없다는 상태 claim.
claim-global-invariant-generalizes,claim,Global Invariant Generalizes Across E2.3 Screens,supported,files/markdown/claim-global-invariant-generalizes.md,ontology-reasoner-mcp,e2-3-result|generalization-claim|global-invariant|protocol-bounded|screened-not-confirmed,generalization claim|E2.3 result|screened not confirmed|global invariant|protocol bounded,E2.3 screening은 global feature-type invariant가 새 어휘·paraphrase·topology·decoy 조건에서 높은 통과율을 보였음을 지지한다.
claim-open-status-date-bound,claim,Open-Problem Status Must Be Date-Bound,supported,files/markdown/claim-open-status-date-bound.md,ontology-reasoner-mcp,date-bound-claim|hallucination-mitigation|literature-evidence|open-problem-status|uncertainty,open problem status|date-bound claim|literature evidence|uncertainty|hallucination mitigation,미해결 여부는 고정 속성이 아니라 최신 문헌 근거와 as-of 날짜가 필요한 claim이라는 설계 원칙.
concept-abstain-repair-contract,concept,Claim–Abstain–Repair Contract,active,files/markdown/concept-abstain-repair-contract.md,ontology-reasoner-mcp,claim-abstain-repair|mandatory-abstention|missing-evidence|reasoning-contract|repairability,claim abstain repair|reasoning contract|mandatory abstention|repairability|missing evidence,"근거 audit와 sufficiency 판정 뒤 accept_report, repair, abstain을 선택하게 하는 reasoning contract."
concept-complete-state-contract,concept,Complete-State Repair Contract,active,files/markdown/concept-complete-state-contract.md,ontology-reasoner-mcp,complete-state-contract|destructive-repair|full-set-preservation|repaired_concepts|structural-preservation,complete-state contract|full-set preservation|destructive repair|repaired_concepts|structural preservation,repair 결과가 변경 diff가 아니라 입력의 모든 concept와 feature를 보존한 완전 상태여야 한다는 계약.
concept-context-isolation,concept,MCP Context Isolation,active,files/markdown/concept-context-isolation.md,ontology-reasoner-mcp,cold-context|context-contamination|mcp-context-isolation|source-confinement|tool-output-separation,MCP context isolation|context contamination|source confinement|cold context|tool output separation,MCP 평가에서 허용된 입력과 tool output만 사용하고 이전 대화·메모리·배경지식의 영향을 차단하는 실험 원칙.
concept-evidence-sufficiency,concept,Evidence Sufficiency,active,files/markdown/concept-evidence-sufficiency.md,ontology-reasoner-mcp,conflicting-evidence|direct-support|evidence-audit|evidence-sufficiency|packet-only,evidence sufficiency|direct support|conflicting evidence|evidence audit|packet-only,packet 안의 direct support가 선택한 판단을 명시적으로 지지하고 동등한 직접 충돌이 없을 때만 확정을 허용하는 기준.
concept-feature-type-vocabulary,concept,Six-Type FeatureType Vocabulary,active,files/markdown/concept-feature-type-vocabulary.md,ontology-reasoner-mcp,contextual_usage|essential_feature|featuretype|functional|locational|social_treatment|structural_composition,FeatureType|essential_feature|contextual_usage|locational|functional|social_treatment|structural_composition,ConceptGate repair 계약에서 사용하는 여섯 FeatureType 값과 structural_composition의 명시적 노출.
concept-global-feature-type-invariant,concept,Global Feature-Type Invariant,active,files/markdown/concept-global-feature-type-invariant.md,ontology-reasoner-mcp,feature-identity|global-consistency-rule|global-feature-type-invariant|global-state-normalization|mixrig,global feature-type invariant|global consistency rule|feature identity|global state normalization|MixRig,동일 feature 이름은 그 feature를 가진 모든 concept에서 하나의 type으로 정규화되어야 한다는 전역 계약.
concept-is-a-vs-part-of,concept,is-a vs has-a/part-of Boundary,active,files/markdown/concept-is-a-vs-part-of.md,ontology-reasoner-mcp,has-a|is-a|part-of|structural-composition|taxonomy-dag,is-a|has-a|part-of|taxonomy DAG|structural composition,분류적 포함과 구성적 분해를 분리하여 코드·이름·기능을 잘못 taxonomy edge로 만들지 않게 하는 경계.
