id,from,relation,to,confidence,review_status,proposed_by,evidence,rationale
edge-001,src-conversation-context-2026-07,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,vault:src-conversation-context-2026-07 frontmatter,The source record belongs to the project scope.
edge-002,src-repo-experiment-files-2026-07,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,vault:src-repo-experiment-files-2026-07 frontmatter,The repo source set records project experiment evidence.
edge-003,src-conversation-context-2026-07,motivates,dec-vault-storage-graph,high,accepted,review_vault_graph|main_agent,conversation:messages 354-363,The conversation explicitly developed and selected the vault storage and graph architecture.
edge-004,src-conversation-context-2026-07,motivates,proc-vault-ingestion,high,accepted,review_vault_graph|main_agent,conversation:messages 357-363,"The user requested subagent summary, keyword, edge, and symlink ingestion behavior."
edge-005,src-repo-experiment-files-2026-07,supports,claim-global-invariant-generalizes,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.3_global_invariant_generalization/README.md|repo:experiments/2026-07-25_e2.3_global_invariant_generalization/trials.json,The E2.3 sources report the screened arm results captured by the claim.
edge-006,src-repo-experiment-files-2026-07,supports,claim-e2-4-design-only,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md|repo:experiments/README.md,"The source set contains a design packet but no fixture, scorer, or trial result files for E2.4."
edge-007,concept-is-a-vs-part-of,refines,concept-feature-type-vocabulary,medium,accepted,review_vault_graph|main_agent,conversation:project memory summary,The relation boundary explains why structural_composition must be distinguished from classificatory features.
edge-008,concept-global-feature-type-invariant,refines,concept-feature-type-vocabulary,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-24_e2.2.2_directed_pc_invariant_fix/README.md,The invariant adds a cross-concept identity constraint on top of the vocabulary.
edge-009,concept-complete-state-contract,refines,concept-abstain-repair-contract,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,Complete-state preservation is one of the conditions that makes an evidence-backed repair admissible.
edge-010,concept-evidence-sufficiency,gates,concept-abstain-repair-contract,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,The E2.4 contract requires sufficiency before repair and routes insufficient evidence to abstain.
edge-011,concept-evidence-sufficiency,depends_on,concept-repo-derived-evidence,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/contract_prompt.md,Sufficiency is evaluated only from evidence items confined to the repo packet.
edge-012,concept-abstain-repair-contract,depends_on,concept-evidence-sufficiency,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,The final contract branch depends on a prior sufficiency verdict.
edge-013,concept-abstain-repair-contract,depends_on,concept-complete-state-contract,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/decision_schema.json,Repair is valid only when repaired_concepts preserves the complete input set.
edge-014,concept-abstain-repair-contract,refines,concept-global-feature-type-invariant,high,accepted,summarize_e24|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/README.md,E2.4 guards the earlier invariant with evidence sufficiency and abstention.
edge-015,concept-repo-derived-evidence,refines,concept-context-isolation,high,accepted,review_vault_graph|main_agent,repo:experiments/2026-07-25_e2.4_repo_grounded_contract/contract_prompt.md,Repo evidence packets make source confinement concrete through commit-bound excerpts.
edge-016,concept-symlink-classification-view,refines,dec-vault-storage-graph,high,accepted,review_vault_graph|main_agent,conversation:message 363,The symlink view is the concrete classification projection selected by the storage decision.
edge-017,concept-typed-semantic-edge,depends_on,concept-symlink-classification-view,medium,accepted,review_vault_graph|main_agent,conversation:messages 357-363,"The graph complements, rather than replaces, the tree-like symlink classification views."
edge-018,concept-literature-first,depends_on,concept-problem-status-claim,high,accepted,review_vault_graph|main_agent,conversation:message 359,Literature-first behavior needs a date- and evidence-bound representation of current problem status.
edge-019,exp-e2-2-1-vocabulary,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:experiments/2026-07-24_e2.2.1_directed_pc_vocabulary_fix/README.md,E2.2.1 is a project experiment.
edge-020,exp-e2-2-1-vocabulary,tests,concept-feature-type-vocabulary,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-24_e2.2.1_directed_pc_vocabulary_fix/README.md,The experiment isolates explicit vocabulary exposure.
edge-021,exp-e2-2-1-vocabulary,motivates,exp-e2-2-2-invariant,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-24_e2.2.2_directed_pc_invariant_fix/README.md,The 3/20 failure analysis motivated the global and complete-state contract intervention.
edge-022,exp-e2-2-1-vocabulary,derived_from,src-repo-experiment-files-2026-07,high,accepted,main_agent,"repo:E2.2.1 README, schema, fixture, trials, evaluator",The vault note is distilled from the captured repo source set.
edge-023,exp-e2-2-2-invariant,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:experiments/2026-07-24_e2.2.2_directed_pc_invariant_fix/README.md,E2.2.2 is a project experiment.
edge-024,exp-e2-2-2-invariant,refines,exp-e2-2-1-vocabulary,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-24_e2.2.2_directed_pc_invariant_fix/README.md,E2.2.2 adds contracts identified from E2.2.1 failures while holding the baseline vehicle fixed.
edge-025,exp-e2-2-2-invariant,tests,concept-global-feature-type-invariant,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-24_e2.2.2_directed_pc_invariant_fix/README.md,Global consistency is one of the combined tested factors.
edge-026,exp-e2-2-2-invariant,tests,concept-complete-state-contract,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-24_e2.2.2_directed_pc_invariant_fix/README.md,Complete-state prompt and schema constraints are part of the tested combined intervention.
edge-027,exp-e2-2-2-invariant,motivates,exp-e2-2-3-ablation,high,accepted,summarize_e22_e23|main_agent,repo:experiments/2026-07-25_e2.2.3_directed_pc_ablation/README.md,The combined 20/20 result left factor attribution unresolved and motivated OFAT ablation.
edge-028,exp-e2-2-2-invariant,derived_from,src-repo-experiment-files-2026-07,high,accepted,main_agent,"repo:E2.2.2 README, schema, fixture, trials, evaluator",The vault note is distilled from the captured repo source set.
edge-029,exp-e2-2-3-ablation,part_of,project-ontology-reasoner-mcp,high,accepted,main_agent,repo:experiments/2026-07-25_e2.2.3_directed_pc_ablation/README.md,E2.2.3 is a project experiment.
